PINCODE,BR_CITY,STATE,REGION,OFFICE_CODE,OFFICE_NAME,END_MILE_TAT,STANDARD
131409,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
132037,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
132040,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
132046,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
132108,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
132115,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
132122,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
132145,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
132157,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
133008,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
133010,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
133101,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
133205,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
133206,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
133207,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
133301,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
134008,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
134201,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
134205,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
135004,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
135021,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
135101,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
135103,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
135106,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
136021,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
136026,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
136030,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
136035,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
136038,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
136042,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
136043,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
136130,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
136134,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
136136,PANIPAT,HARYANA,HHPJ REGIONAL OFFICE,J60,IP DISPATCH PANIPAT BRANCH,3,Y
140102,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140109,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140110,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140114,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140115,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140116,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140119,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140123,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140126,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140127,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140128,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140133,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140307,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140402,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140405,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140407,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140408,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140506,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140602,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140701,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140702,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
140802,CHANDIGARH,CHANDIGARH,HHPJ REGIONAL OFFICE,J59,IP DISPATCH CHANDIGARH BRANCH,2,Y
